smiles,Serine_threonine-protein_kinase_mTOR
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC)CC3)c(C(F)(F)F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(CC(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
COCCN1CCN(C(=O)c2ccc(-c3ncnc(C)c3C#Cc3ccc(N)nc3)cc2)CC1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(CC(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(C(F)(F)F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C)CC3C)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOCCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(OC(F)(F)F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,1.0
CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(C=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(F)c2)cn1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
