smiles,Serine_threonine-protein_kinase_AKT
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,0.0
Cn1cc(C2=C(c3nnc4ccccn34)C(=O)NC2=O)c2cc(Br)ccc21,0.0
N=P(O)(OP(=O)(O)O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,0.0
NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(C(=O)NCc4ccncc4)cc32)cc1,0.0
Nc1ccccc1Nc1ccc2c(c1)Oc1ccccc1NC2=O,0.0
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(F)c4F)c3)cc12,1.0
CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(-c5ccn[nH]5)cc3-4)cc2)C1,1.0
COc1cccc2c1CCc1cc(Nc3ccc(F)cc3F)ccc1C2=O,0.0
COc1cc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)ccc1F,1.0
CC1=C(C(=O)Nc2ccc3[nH]nc(C)c3c2)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,0.0
CCCC1NC(=O)C(CCCNC(=N)N)NC(=O)CN(C(=O)C(N)CCCNC(=N)N)CCNC(=O)NCCCCN(CC(N)=O)C(=O)C(CCC(C)C)NC(=O)C(CN)NC(=O)C(Cc2ccc(O)cc2)NC1=O,1.0
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C=O)CC1,1.0
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2CO)CC1,0.0
NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(C(=O)NCCCn4ccnc4)cc32)cc1,0.0
CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1,0.0
Cc1c(C(=O)c2coc3ccc(O)cc23)[nH]c(-c2ccccc2)c1-c1ccccc1,0.0
CC(C)C(NC(=O)c1ccc(N(CC(=O)NC(C)(C)C)C(=O)CCCCNC(=N)N)cc1)C(=O)NC(Cc1ccccc1)C(=O)NCc1ccccc1,0.0
COc1nccc2cc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)ccc12,0.0
CC1=NN(C(=O)c2ccc(Cl)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)Nc2nnc(C)s2)cc1,0.0
CCCC(NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CN)C(=O)NC(CCC(C)C)C(N)=O,0.0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1O,0.0
NC(COc1cc(C=Cc2ccncc2)ccn1)Cc1c[nH]c2ccccc12,0.0
