smiles,Serine_threonine-protein_kinase_B-raf
NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,0.0
FC(F)(F)c1ccc(C2=NN(C(=S)Nc3ccccc3)C(c3ccc4c(c3)OCCO4)C2)cc1,0.0
O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1)Nc1cc(C(F)(F)F)ccc1F,1.0
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(Nc4ccccc4)c3)ccc2[nH]1,1.0
CCCS(=O)(=O)Nc1ccc(F)c(Nc2ccc3ncn(Cc4ccccc4)c(=O)c3c2)c1Cl,1.0
CN(C(N)=O)c1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)ccc2[nH]1,1.0
O=C(NC1CC1)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,1.0
COC(=O)Nc1nc2ccc(C3(O)c4c(F)ccc(F)c4C(=O)N3c3c(C)cccc3Cl)cc2[nH]1,1.0
CN1CCCC1COC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3c3cccc(Cl)c3F)cc2[nH]1,1.0
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(NC3CCOC3)c2)nn1,1.0
CNc1ncc2ccc(Oc3cc(C(=O)c4c(-c5ccccc5)n(C)n(-c5ccccc5)c4=O)ccc3N)cc2n1,1.0
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,0.0
CCc1nc(-c2cccc(N(C)S(=O)(=O)c3ccccc3)c2)c(-c2ccnc(Nc3ccc(N4CCN(C(C)=O)CC4)nc3)n2)s1,0.0
CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,0.0
COc1cc(Nc2cncc(Oc3cccc4cnccc34)n2)cc(OC)c1OC,0.0
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCOCC5)cc34)c2)cc1C(F)(F)F,1.0
O=C(Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(Cl)c3F)ccc2[nH]1)OC1CC(F)(F)C1(F)F,1.0
O=C1CCc2cc(Nc3c(-c4ncccn4)oc4cnccc34)ccc21,1.0
CN1CCCN(c2nc(N)c3ncnc(Nc4cc(C(=O)Nc5cccc(C(F)(F)F)c5)ccc4Cl)c3n2)CC1,1.0
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-n1cc(-c2cncc(NCCN(C)C)c2)nn1,1.0
CNC(=O)c1ccc(Sc2cccc(NC(=S)Nc3ccc(OC(F)(F)F)cc3)c2)nc1,0.0
Cn1nc(C(C)(C)C)cc1NC(=O)c1cc(Cl)cc(Nc2ncnc3cnc(N4CCOCC4)nc23)c1,1.0
Nc1nccc(C2=C(c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3F)C(=O)C3(CCCC3)O2)n1,1.0
CN(C)c1ncnc2c1ncn2CC(=O)c1c[nH]c2ccccc12,0.0
CCc1cccc(NC(=O)Nc2ccc(Oc3ccc4nc(NC(=O)OC)[nH]c4c3)cc2)c1,0.0
CCNc1ncc(C(=O)Nc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1,1.0
O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4ccc(C(F)(F)F)cc4[nH]3)ccnc2N1,1.0
CNS(=O)(=O)c1ccc(Cl)c(Nc2ncnc3[nH]ccc23)c1,1.0
COc1n[nH]c2ncc(NC(=O)c3cccc(C(=O)Nc4ccccc4)c3)cc12,1.0
Cn1c(Nc2cccc(C(F)(F)F)c2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,1.0
CCCCCCCCS(=O)(=O)Nc1cc(Sc2ncn[nH]2)c(O)c2ccccc12,1.0
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCOCC5)nc34)c2)cc1C(F)(F)F,1.0
Cn1c(-c2nonc2N)nc2cnccc21,0.0
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3CCN(CC4CCOC4)CC3)nc12,1.0
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3cccc(C)c3)ccc2[nH]1,1.0
CC(C)(C)c1cc(NC(=O)c2ccc(C(F)(F)F)c(Nc3ncnc4cnc(NCCN5CCOCC5)nc34)c2)no1,0.0
Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccc4c(c3)OCO4)n2)cc1,0.0
NC(=O)c1cccc(Nc2nccc(-c3[nH]c(C(F)(F)F)nc3-c3cccc(NC(=O)Cc4ccc(Cl)cc4)c3)n2)c1,1.0
CN(C)C(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)ccc2[nH]1,1.0
Cc1ccc(C(=O)Nc2cccc(S(=O)(=O)N(C)C)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,1.0
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1cncc(C(N)=O)c1,0.0
Cc1ccc(C(=O)Nc2cc(N3CCN(C)CC3)c(F)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,1.0
O=C(Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1)c1cc(F)cc(N2CCOCC2)c1,1.0
ON=C1CCc2cc(-c3cn(C4CCCC(O)C4)nc3-c3ccncc3)ccc21,1.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc(N)c(Br)c2)c1F,1.0
Cc1ccc(C(=O)Nc2cc(CN3CCCC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCC3)nc12,1.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccccc4)cc23)c1F,1.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]c(-c4cccc(Cl)c4)nc3c2)c1F,1.0
COc1cc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)ccc1Oc1ccnc2[nH]c(=O)[nH]c12,1.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]c(-c4ccc(OC)cc4)nc3c2)c1F,1.0
Cc1ccc(C(=O)NCc2cccc(C(C)(C)C)c2)cc1Nc1ncnc2cnc(N(C)CCN(C)C)nc12,1.0
Cc1cnc(-c2cc(Oc3ccc4c(c3)nc(Nc3cc(C(F)(F)F)ccc3F)n4C)ccn2)[nH]1,1.0
CC(C)(CO)CNC(=O)c1ccc2c(c1)C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,0.0
CCn1c(Nc2ccc(Br)cc2)nc2cc(Oc3ccnc(C(=O)NC)c3)ccc21,1.0
O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3nc(C(F)(F)F)c(=O)[nH]c23)c2ccccc12,0.0
Cc1ccc(C(=O)Nc2cc(N3CCCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N(C)CCF)nc12,1.0
CC(=O)Nc1cccc(-c2cncc(Nc3cccc(O)c3)n2)c1,0.0
COCCN1CCN(c2ccc3ncnc(Sc4cc(C(=O)Nc5cc(C(C)(C)C)on5)ccc4C)c3n2)CC1,1.0
